Name,Symbol,Atomic_Number,Atomic_Weight,Density,Melting_Point,Boiling_Point,Phase,Absolute_Melting_Point,Absolute_Boiling_Point,Critical_Pressure,Critical_Temperature,Heat_of_Fusion,Heat_of_Vaporization,Specific_Heat,Adiabatic_Index,Neel_Point,Thermal_Conductivity,Thermal_Expansion,Density_Liquid,Molar_Volume,Brinell_Hardness,Mohs_Hardness,Vickers_Hardness,Bulk_Modulus,Shear_Modulus,Young_Modulus,Poisson_Ratio,Refractive_Index,Speed_of_Sound,Valence,Electronegativity,ElectronAffinity,DOT_Hazard_Class,DOT_Numbers,RTECS_Number,Alternate_Names,Block,Group,Period,Series,Electron_Configuration,Color,Gas_phase,CAS_Number,CID_Number,Electrical_Type,Electrical_Conductivity,Resistivity,Superconducting_Point,Magnetic_Type,Curie_Point,Mass_Magnetic_Susceptibility,Molar_Magnetic_Susceptibility,Volume_Magnetic_Susceptibility,Percent_in_Universe,Percent_in_Sun,Percent_in_Meteorites,Percent_in_Earths_Crust,Percent_in_Oceans,Percent_in_Humans,Atomic_Radius,Covalent_Radius,Van_der_Waals_Radius,Space_Group_Name,Space_Group_Number,HalfLife,Lifetime,Decay_Mode,Quantum_Numbers,Neutron_Cross_Section,Neutron_Mass_Absorption
Germanium,Ge,32,72.64,5.323 g/cm3,938.3 °C,2820 °C,Solid,1211.4 K,3093 K,N/A,N/A,31.8 kJ/mol,334 kJ/mol,321.4 J/(kg K)[note],N/A,N/A,60 W/(m K),6×10-6 K-1,5.6 g/cm3,0.000013645,7273.402498871 MPa[note],6,8012.03305 MPa[note],N/A,N/A,N/A,N/A,N/A,5400 m/s,4,2.01,119 kJ/mol,4.1,3089,RTECSLY5200000,None,p,14,4,Metalloid,[Ar]4s23d104p2,Gray,N/A,CAS7440-56-4,CID6326954,Semiconductor,2000 S/m,0.0005 m Ω,N/A,Diamagnetic,N/A,-1.5×10-9 m3/Kg,-1.09×10-10 m3/mol,-7.98×10-6,0.00002%,0.00002%,0.0021%,0.00014%,6×10-9%,N/A,125 pm,120 pm,N/A,"Fm_
3m",225,Stable,Stable,N/A,3P0,2.2,0.0011
Arsenic,As,33,74.9216,5.727 g/cm3,817 °C,614 °C[note],Solid,1090 K,887 K,N/A,N/A,27.7 kJ/mol,32.4 kJ/mol,328 J/(kg K)[note],N/A,N/A,50 W/(m K),N/A,5.22 g/cm3,0.000013082,1440 MPa,3.5,1510 MPa[note],22 GPa,N/A,8 GPa,N/A,1.001552,N/A,5,2.18,78 kJ/mol,6.1,1558,RTECSCG0525000,None,p,15,4,Metalloid,[Ar]4s23d104p3,Silver,N/A,CAS7440-38-2,CID5359596,Conductor,3.3×106 S/m,3×10-7 m Ω,N/A,Diamagnetic,N/A,-3.9×10-9 m3/Kg,-2.92×10-10 m3/mol,-0.0000223,8×10-7%,N/A,0.00018%,0.00021%,2.3×10-7%,5×10-6%,114 pm,119 pm,185 pm,"R_
3m",166,Stable,Stable,N/A,4S3/2,4.2,0.002
Selenium,Se,34,78.96,4.819 g/cm3,221 °C[note],685 °C,Solid,494 K[note],958 K,27.2 MPa (268.4 Atm),1766 K,5.4 kJ/mol,26 kJ/mol,321.2 J/(kg K)[note],N/A,N/A,0.52 W/(m K),N/A,3.99 g/cm3,0.000016387,736 MPa,2,N/A,8.3 GPa,3.7 GPa,10 GPa,0.33,1.000895,3350 m/s,6,2.55,195 kJ/mol,6.1,2658,RTECSVS7700000,None,p,16,4,Chalcogen,[Ar]4s23d104p4,Gray,N/A,CAS7782-49-2,CID6326970,N/A,N/A,N/A,N/A,Diamagnetic,N/A,-4×10-9 m3/Kg,-3.16×10-10 m3/mol,-0.0000193,3×10-6%,N/A,0.0013%,5×10-6%,4.5×10-8%,5×10-6%,103 pm,120 pm,190 pm,P121/c1,14,Stable,Stable,N/A,3P2,11.7,0.0056
Bromine,Br,35,79.904,3.12 g/cm3,-7.3 °C,59 °C,Liquid,265.8 K,332 K,10.34 MPa (102 Atm),588 K,5.8 kJ/mol,14.8 kJ/mol,947.3 J/(kg K)[note],N/A,N/A,0.12 W/(m K),N/A,3.12 g/cm3[note],0.00002561,N/A,N/A,N/A,1.9 GPa,N/A,N/A,N/A,1.001132,N/A,5,2.96,324.6 kJ/mol,8,1744,RTECSEF9100000,None,p,17,4,Halogen,[Ar]4s23d104p5,Red,N/A,CAS7726-95-6,CID24408,Insulator,1×10-10 S/m,1×1010 m Ω,N/A,Diamagnetic,N/A,-4.9×10-9 m3/Kg,-7.83×10-10 m3/mol,-0.0000153,7×10-7%,N/A,0.00012%,0.0003%,0.0066%,0.00029%,94 pm,120 pm,185 pm,Cmca,64,Stable,Stable,N/A,2P3/2,6.8,0.002
Krypton,Kr,36,83.798,3.75 g/l[note],-157.36 °C,-153.22 °C,Gas,115.79 K,119.93 K,5.5 MPa (54.28 Atm),209.41 K,1.64 kJ/mol,9.02 kJ/mol,248.05 J/(kg K)[note],5/3,N/A,0.00943 W/(m K),N/A,N/A,0.02235,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.000427,1120 m/s,2,3,0 kJ/mol,2.2,1970,RTECSOC6772500,None,p,18,4,Noble Gas,[Ar]4s23d104p6,Colorless,Monoatomic,CAS7439-90-9,CID5416,N/A,N/A,N/A,N/A,Diamagnetic,N/A,-4.4×10-9 m3/Kg,-3.69×10-10 m3/mol,-1.65×10-8,4×10-6%,N/A,N/A,1.5×10-8%,2.1×10-8%,N/A,87 pm,116 pm,202 pm,"Fm_
3m",225,Stable,Stable,N/A,1S0,25,0.013
Rubidium,Rb,37,85.4678,1.532 g/cm3,39.31 °C,688 °C,Solid,312.46 K,961 K,16 MPa (157.9 Atm)[note],2093 K[note],2.19 kJ/mol,71 kJ/mol,364 J/(kg K)[note],N/A,N/A,58 W/(m K),N/A,1.46 g/cm3,0.000055788,0.216 MPa,0.3,N/A,2.5 GPa,N/A,2.4 GPa,N/A,N/A,1300 m/s,1,0.82,46.9 kJ/mol,4.3,1423,RTECSVL8500000,None,s,1,5,Alkali Metal,[Kr]5s1,Silver,N/A,CAS7440-17-7,CID5357696,Conductor,8.3×106 S/m,1.2×10-7 m Ω,N/A,Paramagnetic,N/A,2.6×10-9 m3/Kg,2.22×10-10 m3/mol,3.98×10-6,1×10-6%,3×10-6%,0.00032%,0.006%,0.000012%,0.00046%,265 pm,220 pm,N/A,"Im_
3m",229,Stable,Stable,N/A,2S1/2,0.38,0.0003
Strontium,Sr,38,87.62,2.63 g/cm3,777 °C,1382 °C,Solid,1050 K,1655 K,N/A,N/A,8 kJ/mol,137 kJ/mol,300 J/(kg K)[note],N/A,N/A,35 W/(m K),0.0000225 K-1,2.375 g/cm3,0.000033316,N/A,1.5,N/A,N/A,6.1 GPa,N/A,0.28,N/A,N/A,2,0.95,5.03 kJ/mol,4.2,1383,N/A,None,s,2,5,Alkaline Earth Metal,[Kr]5s2,Silver,N/A,CAS7440-24-6,CID5359327,Conductor,7.7×106 S/m,1.3×10-7 m Ω,N/A,Paramagnetic,N/A,1.32×10-9 m3/Kg,1.16×10-10 m3/mol,3.47×10-6,4×10-6%,5×10-6%,0.00086%,0.036%,0.0008%,0.00046%,219 pm,195 pm,N/A,"Fm_
3m",225,Stable,Stable,N/A,1S0,1.2,0.0005
Yttrium,Y,39,88.90585,4.472 g/cm3,1526 °C,3345 °C,Solid,1799 K,3618 K,N/A,N/A,11.4 kJ/mol,380 kJ/mol,298 J/(kg K)[note],N/A,N/A,17 W/(m K),0.0000106 K-1,4.24 g/cm3,0.000019881,588 MPa,N/A,N/A,41 GPa,26 GPa,64 GPa,0.24,N/A,3300 m/s,3,1.22,29.6 kJ/mol,4.1,3089,RTECSZG2980000,None,d,3,5,Transition Metal,[Kr]5s24d1,Silver,N/A,CAS7440-65-5,CID23993,Conductor,1.8×106 S/m,5.7×10-7 m Ω,1.3,Paramagnetic,N/A,6.66×10-8 m3/Kg,5.921×10-9 m3/mol,0.0002978,7×10-7%,9.9×10-7%,0.00019%,0.0029%,1.3×10-9%,N/A,212 pm,190 pm,N/A,P63/mmc,194,Stable,Stable,N/A,2D3/2,1.28,0.00059
Zirconium,Zr,40,91.224,6.511 g/cm3,1855 °C,4409 °C,Solid,2128 K,4682 K,N/A,N/A,21 kJ/mol,580 kJ/mol,278 J/(kg K)[note],N/A,N/A,23 W/(m K),5.7×10-6 K-1,5.8 g/cm3,0.000014011,650 MPa,5,904 MPa,N/A,33 GPa,67 GPa,0.34,N/A,3800 m/s,4,1.33,41.1 kJ/mol,4.2,2008,N/A,None,d,4,5,Transition Metal,[Kr]5s24d2,Silver,N/A,CAS7440-67-7,CID23995,Conductor,2.4×106 S/m,4.2×10-7 m Ω,0.61,Paramagnetic,N/A,1.68×10-8 m3/Kg,1.53×10-9 m3/mol,0.000109,5×10-6%,4×10-6%,0.00066%,0.013%,2.6×10-9%,5×10-6%,206 pm,175 pm,N/A,P63/mmc,194,Stable,Stable,N/A,3F2,0.184,0.00066
Niobium,Nb,41,92.90638,8.57 g/cm3,2477 °C,4744 °C,Solid,2750 K,5017 K,N/A,N/A,26.8 kJ/mol,690 kJ/mol,265 J/(kg K)[note],N/A,N/A,54 W/(m K),7.3×10-6 K-1,N/A,0.000010841,736 MPa,6,1320 MPa,170 GPa,38 GPa,105 GPa,0.4,N/A,3480 m/s,5,1.6,86.1 kJ/mol,N/A,N/A,RTECSQT9900000,Columbium,d,5,5,Transition Metal,[Kr]5s14d4,Gray,N/A,CAS7440-03-1,CID23936,Conductor,6.7×106 S/m,1.5×10-7 m Ω,9.25,Paramagnetic,N/A,2.76×10-8 m3/Kg,2.56×10-9 m3/mol,0.000237,2×10-7%,4×10-7%,0.000019%,0.0017%,1×10-10%,N/A,198 pm,164 pm,N/A,"Im_
3m",229,Stable,Stable,N/A,6D1/2,1.15,0.0004
Molybdenum,Mo,42,95.94,10.28 g/cm3,2623 °C,4639 °C,Solid,2896 K,4912 K,N/A,N/A,36 kJ/mol,600 kJ/mol,251 J/(kg K)[note],N/A,N/A,139 W/(m K),4.8×10-6 K-1,9.33 g/cm3,9.334×10-6,1500 MPa,5.5,1530 MPa,230 GPa,20 GPa,329 GPa,0.31,N/A,6190 m/s,6,2.16,71.9 kJ/mol,4.1,3089,RTECSQA4680000,None,d,6,5,Transition Metal,[Kr]5s14d5,Gray,N/A,CAS7439-98-7,CID23932,Conductor,2×107 S/m,4.999999999997×10-8 m Ω,0.915,Paramagnetic,N/A,1.17×10-8 m3/Kg,1.122×10-9 m3/mol,0.0001203,5×10-7%,9×10-7%,0.00012%,0.00011%,9.9×10-7%,0.00001%,190 pm,154 pm,N/A,"Im_
3m",229,Stable,Stable,N/A,7S3,2.6,0.0009
Technetium,Tc,43,98[note],11.5 g/cm3,2157 °C,4265 °C,Solid,2430 K,4538 K,N/A,N/A,23 kJ/mol,550 kJ/mol,63 J/(kg K)[note],N/A,N/A,51 W/(m K),N/A,N/A,8.434782608696×10-6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,6,1.9,53 kJ/mol,N/A,N/A,N/A,None,d,7,5,Transition Metal,[Kr]5s24d5,Silver,N/A,CAS7440-26-8,N/A,Conductor,5×106 S/m,2×10-7 m Ω,7.7,Paramagnetic,N/A,3.42×10-8 m3/Kg,3.352×10-9 m3/mol,0.0003933,N/A,0%,0%,0%,0%,0%,183 pm,147 pm,N/A,P63/mmc,194,211098.4271943 y,6.024860476915×106 y,BetaDecay,6S5/2,22,N/A
Ruthenium,Ru,44,101.07,12.37 g/cm3,2334 °C,4150 °C,Solid,2607 K,4423 K,N/A,N/A,25.7 kJ/mol,580 kJ/mol,238 J/(kg K)[note],N/A,N/A,120 W/(m K),6.4×10-6 K-1,10.65 g/cm3,8.1706×10-6,2160 MPa,6.5,2298.138766667 MPa[note],220 GPa,173 GPa,447 GPa,0.3,N/A,5970 m/s,6,2.2,101.3 kJ/mol,4.1,3089,N/A,None,d,8,5,Transition Metal,[Kr]5s14d7,Silver,N/A,CAS7440-18-8,CID23950,Conductor,1.4×107 S/m,7.000000000002×10-8 m Ω,0.49,Paramagnetic,N/A,5.42×10-9 m3/Kg,5.48×10-10 m3/mol,0.000067,4×10-7%,5×10-7%,0.000081%,1×10-7%,7×10-11%,N/A,178 pm,146 pm,N/A,P63/mmc,194,Stable,Stable,N/A,5F5,2.6,0.0009
Rhodium,Rh,45,102.9055,12.45 g/cm3,1964 °C,3695 °C,Solid,2237 K,3968 K,N/A,N/A,21.7 kJ/mol,495 kJ/mol,240 J/(kg K)[note],N/A,N/A,150 W/(m K),8×10-6 K-1,10.7 g/cm3,8.2655×10-6,1100 MPa,6,1246 MPa,380 GPa,150 GPa,275 GPa,0.26,N/A,4700 m/s,6,2.28,109.7 kJ/mol,4.1,3089,RTECSVI9069000,None,d,9,5,Transition Metal,[Kr]5s14d8,Silver,N/A,CAS7440-16-6,CID23948,Conductor,2.3×107 S/m,4.300000000003×10-8 m Ω,N/A,Paramagnetic,N/A,1.36×10-8 m3/Kg,1.4×10-9 m3/mol,0.0001693,6×10-8%,2×10-7%,0.000018%,7×10-8%,N/A,N/A,173 pm,142 pm,N/A,"Fm_
3m",225,Stable,Stable,N/A,4F9/2,145,0.063
Palladium,Pd,46,106.42,12.023 g/cm3,1554.9 °C,2963 °C,Solid,1828.05 K,3236 K,N/A,N/A,16.7 kJ/mol,380 kJ/mol,240 J/(kg K)[note],N/A,N/A,71 W/(m K),0.0000118 K-1,10.38 g/cm3,8.8514×10-6,37.2 MPa,4.75,461 MPa,180 GPa,44 GPa,121 GPa,0.39,N/A,3070 m/s,4,2.2,53.7 kJ/mol,4.2,3200,RTECSRT3480500,None,d,10,5,Transition Metal,[Kr]4d10,Silver,N/A,CAS7440-05-3,CID23938,Conductor,1×107 S/m,1×10-7 m Ω,N/A,Paramagnetic,N/A,6.57×10-8 m3/Kg,6.992×10-9 m3/mol,0.0007899,2×10-7%,3×10-7%,0.000065%,6.3×10-7%,N/A,N/A,169 pm,139 pm,163 pm,"Fm_
3m",225,Stable,Stable,N/A,1S0,6.9,0.0023
Silver,Ag,47,107.8682,10.49 g/cm3,961.78 °C,2162 °C,Solid,1234.93 K,2435 K,N/A,N/A,11.3 kJ/mol,255 kJ/mol,235 J/(kg K)[note],N/A,N/A,430 W/(m K),0.0000189 K-1,9.32 g/cm3,0.000010283,24.5 MPa,2.5,251 MPa,100 GPa,30 GPa,85 GPa,0.37,N/A,2600 m/s,1,1.93,125.6 kJ/mol,N/A,N/A,RTECSVW3500000,Argentum,d,11,5,Transition Metal,[Kr]5s14d10,Silver,N/A,CAS7440-22-4,CID23954,Conductor,6.2×107 S/m,1.6×10-8 m Ω,N/A,Diamagnetic,N/A,-2.27×10-9 m3/Kg,-2.45×10-10 m3/mol,-0.0000238,6×10-8%,1×10-7%,0.000014%,7.9×10-6%,1×10-8%,N/A,165 pm,145 pm,172 pm,"Fm_
3m",225,Stable,Stable,N/A,2S1/2,63.6,0.02
Cadmium,Cd,48,112.411,8.65 g/cm3,321.07 °C,767 °C,Solid,594.22 K,1040 K,N/A,N/A,6.3 kJ/mol,100 kJ/mol,230 J/(kg K)[note],N/A,N/A,96 W/(m K),0.0000308 K-1,7.996 g/cm3,0.000012996,203 MPa,2,N/A,42 GPa,19 GPa,50 GPa,0.3,N/A,2310 m/s,2,1.69,0 kJ/mol,6.1,2570,RTECSEU9800000,None,d,12,5,Transition Metal,[Kr]5s24d10,Silver,N/A,CAS7440-43-9,CID23973,Conductor,1.4×107 S/m,7.000000000002×10-8 m Ω,0.517,Diamagnetic,N/A,-2.3×10-9 m3/Kg,-2.59×10-10 m3/mol,-0.0000199,2×10-7%,6×10-7%,0.000044%,0.000015%,5×10-9%,0.00007%,161 pm,144 pm,158 pm,P63/mmc,194,Stable,Stable,N/A,1S0,2450,1.4
Indium,In,49,114.818,7.31 g/cm3,156.6 °C,2072 °C,Solid,429.75 K,2345 K,N/A,N/A,3.26 kJ/mol,230 kJ/mol,233 J/(kg K)[note],N/A,N/A,82 W/(m K),0.0000321 K-1,7.02 g/cm3,0.000015707,8.83 MPa,1.2,N/A,N/A,N/A,11 GPa,N/A,N/A,1215 m/s,3,1.78,28.9 kJ/mol,4.1,3089,RTECSNL1050000,None,p,13,5,Poor Metal,[Kr]5s24d105p1,Silver,N/A,CAS7440-74-6,CID5359967,Conductor,1.2×107 S/m,8.000000000001×10-8 m Ω,3.41,Diamagnetic,N/A,-1.4×10-9 m3/Kg,-1.61×10-10 m3/mol,-0.0000102,3×10-8%,4×10-7%,4.4×10-6%,0.000016%,1×10-11%,N/A,156 pm,142 pm,193 pm,I4/mmm,139,Stable,Stable,N/A,2P1/2,194,0.06
Tin,Sn,50,118.71,7.31 g/cm3,231.93 °C,2602 °C,Solid,505.08 K,2875 K,N/A,N/A,7 kJ/mol,290 kJ/mol,217 J/(kg K)[note],N/A,N/A,67 W/(m K),0.000022 K-1,6.99 g/cm3,0.000016239,51 MPa,1.5,N/A,58 GPa,18 GPa,50 GPa,0.36,N/A,2500 m/s,4,1.96,107.3 kJ/mol,N/A,N/A,RTECSXP7320000,Stannum,p,14,5,Poor Metal,[Kr]5s24d105p2,Silver,N/A,CAS7440-31-5,CID5352426,Conductor,9.1×106 S/m,1.1×10-7 m Ω,3.72,Diamagnetic,N/A,-3.1×10-9 m3/Kg,-3.68×10-10 m3/mol,-0.0000227,4×10-7%,9×10-7%,0.00012%,0.00022%,9.9×10-10%,0.00002%,145 pm,139 pm,217 pm,I41/amd,141,Stable,Stable,N/A,3P0,0.62,0.0002
Antimony,Sb,51,121.76,6.697 g/cm3,630.63 °C,1587 °C,Solid,903.78 K,1860 K,N/A,N/A,19.7 kJ/mol,67 kJ/mol,207 J/(kg K)[note],N/A,N/A,24 W/(m K),0.000011 K-1,6.53 g/cm3,0.000018181,294 MPa,3,N/A,42 GPa,20 GPa,55 GPa,N/A,N/A,3420 m/s,5,2.05,103.2 kJ/mol,N/A,N/A,RTECSCC4025000,Stibium,p,15,5,Metalloid,[Kr]5s24d105p3,Silver,N/A,CAS7440-36-0,CID5354495,Conductor,2.5×106 S/m,4×10-7 m Ω,N/A,Diamagnetic,N/A,-1.09×10-8 m3/Kg,-1.327×10-9 m3/mol,-0.000073,4×10-8%,1×10-7%,0.000012%,0.00002%,2×10-8%,N/A,133 pm,139 pm,N/A,"R_
3m",166,Stable,Stable,N/A,4S3/2,5.4,0.0016
Tellurium,Te,52,127.6,6.24 g/cm3,449.51 °C,988 °C,Solid,722.66 K,1261 K,N/A,N/A,17.5 kJ/mol,48 kJ/mol,201 J/(kg K)[note],N/A,N/A,3 W/(m K),N/A,5.7 g/cm3,0.000020449,180 MPa,2.25,N/A,64 GPa,16 GPa,43 GPa,N/A,1.000991,2610 m/s,6,2.1,190.2 kJ/mol,6.1,2811,RTECSWY2625000,None,p,16,5,Chalcogen,[Kr]5s24d105p4,Silver,N/A,CAS13494-80-9,CID6327182,Semiconductor,10000 S/m,0.0001 m Ω,N/A,Diamagnetic,N/A,-3.9×10-9 m3/Kg,-4.98×10-10 m3/mol,-0.0000243,9×10-7%,N/A,0.00021%,1×10-7%,N/A,N/A,123 pm,138 pm,206 pm,P3121,152,Stable,Stable,N/A,3P2,5.4,0.0013
Iodine,I,53,126.90447,4.94 g/cm3,113.7 °C,184.3 °C,Solid,386.85 K,457.4 K,11.7 MPa (115.5 Atm),819 K,7.76 kJ/mol,20.9 kJ/mol,429 J/(kg K)[note],N/A,N/A,0.449 W/(m K),N/A,N/A,0.000025689,N/A,N/A,N/A,7.7 GPa,N/A,N/A,N/A,N/A,N/A,7,2.66,295.2 kJ/mol,8,1759,RTECSNN1575000,None,p,17,5,Halogen,[Kr]5s24d105p5,SlateGray,N/A,CAS7553-56-2,CID807,Insulator,1×10-7 S/m,1×107 m Ω,N/A,Diamagnetic,N/A,-4.5×10-9 m3/Kg,-1.14×10-9 m3/mol,-0.0000222,1×10-7%,N/A,0.000025%,0.000049%,6×10-6%,0.00002%,115 pm,139 pm,198 pm,Cmca,64,Stable,Stable,N/A,2P3/2,6.3,0.0018
Xenon,Xe,54,131.293,5.9 g/l[note],-111.8 °C,-108 °C,Gas,161.3 K,165.1 K,5.841 MPa (57.65 Atm),289.77 K,2.3 kJ/mol,12.64 kJ/mol,158.32 J/(kg K)[note],5/3,N/A,0.00565 W/(m K),N/A,N/A,0.0223,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.000702,1090 m/s,6,2.6,0 kJ/mol,2.2,2591,RTECSZE1280000,None,p,18,5,Noble Gas,[Kr]5s24d105p6,Colorless,Monoatomic,CAS7440-63-3,CID23991,N/A,N/A,N/A,N/A,Diamagnetic,N/A,-4.3×10-9 m3/Kg,-5.65×10-10 m3/mol,-2.54×10-8,1×10-6%,N/A,N/A,2×10-9%,5×10-10%,N/A,108 pm,140 pm,216 pm,"Fm_
3m",225,Stable,Stable,N/A,1S0,25,0.0083
Cesium,Cs,55,132.90545,1.879 g/cm3,28.44 °C,671 °C,Solid,301.59 K,944 K,9.4 MPa (92.77 Atm),1938 K,2.09 kJ/mol,64 kJ/mol,242 J/(kg K)[note],N/A,N/A,36 W/(m K),N/A,1.843 g/cm3,0.000070732,0.14 MPa,0.2,N/A,1.6 GPa,N/A,1.7 GPa,N/A,N/A,N/A,1,0.79,45.5 kJ/mol,4.3,1407,RTECSFK9225000,Caesium,s,1,6,Alkali Metal,[Xe]6s1,Silver,N/A,CAS7440-46-2,CID5354618,Conductor,5×106 S/m,2×10-7 m Ω,N/A,Paramagnetic,N/A,2.8×10-9 m3/Kg,3.72×10-10 m3/mol,5.26×10-6,8×10-8%,8×10-7%,0.000014%,0.00019%,5×10-8%,2×10-6%,298 pm,244 pm,N/A,"Im_
3m",229,Stable,Stable,N/A,2S1/2,29,0.0077
Barium,Ba,56,137.327,3.51 g/cm3,727 °C,1870 °C,Solid,1×103 K,2143 K,N/A,N/A,8 kJ/mol,140 kJ/mol,205 J/(kg K)[note],N/A,N/A,18 W/(m K),0.0000206 K-1,3.338 g/cm3,0.000039125,N/A,1.25,N/A,9.4 GPa,4.9 GPa,13 GPa,N/A,N/A,1620 m/s,2,0.89,13.95 kJ/mol,4.3,1400,RTECSCQ8370000,None,s,2,6,Alkaline Earth Metal,[Xe]6s2,Silver,N/A,CAS7440-39-3,CID5355457,Conductor,2.9×106 S/m,3.5×10-7 m Ω,N/A,Paramagnetic,N/A,1.13×10-8 m3/Kg,1.552×10-9 m3/mol,0.00003966,1×10-6%,9.9×10-7%,0.00027%,0.034%,3×10-6%,0.00003%,253 pm,215 pm,N/A,"Im_
3m",229,Stable,Stable,N/A,1S0,1.3,0.00027
Lanthanum,La,57,138.9055,6.146 g/cm3,919 °C,3464 °C,Solid,1193 K,3737 K,N/A,N/A,6.3 kJ/mol,400 kJ/mol,195 J/(kg K)[note],N/A,N/A,13 W/(m K),0.0000121 K-1,5.94 g/cm3,0.000022601,363 MPa,2.5,491 MPa,28 GPa,14 GPa,37 GPa,0.28,N/A,2475 m/s,3,1.1,48 kJ/mol,4.1,3178,N/A,None,f,N/A,6,Lanthanide,[Xe]6s25d1,Silver,N/A,CAS7439-91-0,CID23926,Conductor,1.6×106 S/m,6.1×10-7 m Ω,4.88,Paramagnetic,N/A,1.1×10-8 m3/Kg,1.528×10-9 m3/mol,0.00006761,2×10-7%,2×10-7%,0.000028%,0.0034%,3.4×10-10%,N/A,N/A,207 pm,N/A,P63/mmc,194,Stable,Stable,N/A,2D3/2,8.98,0.0023
Cerium,Ce,58,140.116,6.689 g/cm3,798 °C,3360 °C,Solid,1071 K,3633 K,N/A,N/A,5.5 kJ/mol,350 kJ/mol,192 J/(kg K)[note],N/A,12.5 K,11 W/(m K),6.3×10-6 K-1,6.55 g/cm3,0.000020947,412 MPa,2.5,270 MPa,22 GPa,14 GPa,34 GPa,0.24,N/A,2100 m/s,4,1.12,50 kJ/mol,4.1,1333,N/A,None,f,N/A,6,Lanthanide,[Xe]6s24f15d1,Silver,N/A,CAS7440-45-1,CID23974,Conductor,1.4×106 S/m,7.5×10-7 m Ω,0.022,Paramagnetic,N/A,2.2×10-7 m3/Kg,3.0826×10-8 m3/mol,0.0014716,1×10-6%,4×10-7%,0.000075%,0.006%,1.2×10-10%,N/A,N/A,204 pm,N/A,P63/mmc,194,Stable,Stable,N/A,1G4,0.6,0.00021
Praseodymium,Pr,59,140.90765,6.64 g/cm3,931 °C,3290 °C,Solid,1204 K,3563 K,N/A,N/A,6.9 kJ/mol,330 kJ/mol,193 J/(kg K)[note],N/A,N/A,13 W/(m K),6.7×10-6 K-1,6.5 g/cm3,0.000021221,481 MPa,1.41[note],400 MPa,29 GPa,15 GPa,37 GPa,0.28,N/A,2280 m/s,4,1.13,50 kJ/mol,N/A,N/A,N/A,None,f,N/A,6,Lanthanide,[Xe]6s24f3,Silver,N/A,CAS7440-10-0,CID23942,Conductor,1.4×106 S/m,7×10-7 m Ω,N/A,Paramagnetic,N/A,4.23×10-7 m3/Kg,5.9604×10-8 m3/mol,0.0028087,2×10-7%,1×10-7%,9.9×10-6%,0.00086%,6×10-11%,N/A,247 pm,203 pm,N/A,P63/mmc,194,Stable,Stable,N/A,4I9/2,11.4,0.0029
Neodymium,Nd,60,144.24,7.01 g/cm3,1021 °C,3100 °C,Solid,1294 K,3373 K,N/A,N/A,7.1 kJ/mol,285 kJ/mol,190 J/(kg K)[note],N/A,19.2 K,17 W/(m K),9.6×10-6 K-1,6.89 g/cm3,0.000020577,265 MPa,1.23[note],343 MPa,32 GPa,16 GPa,41 GPa,0.28,N/A,2330 m/s,3,1.14,50 kJ/mol,N/A,N/A,RTECSQO8575000,None,f,N/A,6,Lanthanide,[Xe]6s24f4,Silver,N/A,CAS7440-00-8,CID23934,Conductor,1.6×106 S/m,6.4×10-7 m Ω,N/A,Paramagnetic,N/A,4.8×10-7 m3/Kg,6.9235×10-8 m3/mol,0.0033648,1×10-6%,3×10-7%,0.00005%,0.0033%,2.8×10-10%,N/A,206 pm,201 pm,N/A,P63/mmc,194,Stable,Stable,N/A,5I4,49,0.011
Promethium,Pm,61,145[note],7.264 g/cm3,1100 °C,3000 °C,Solid,1373 K,3273 K,N/A,N/A,7.7 kJ/mol,290 kJ/mol,N/A,N/A,N/A,15 W/(m K),0.000011 K-1,N/A,0.00001996145374449,N/A,N/A,N/A,33 GPa,18 GPa,46 GPa,0.28,N/A,N/A,3,N/A,50 kJ/mol,N/A,N/A,N/A,None,f,N/A,6,Lanthanide,[Xe]6s24f5,Silver,N/A,CAS7440-12-2,N/A,Conductor,1.3×106 S/m,7.5×10-7 m Ω,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0%,0%,0%,0%,0%,205 pm,199 pm,N/A,N/A,N/A,17.72577371892 y,25.55809233891 y,ElectronCapture,6H5/2,8.4×103,N/A
Samarium,Sm,62,150.36,7.353 g/cm3,1072 °C,1803 °C,Solid,1345 K,2076 K,N/A,N/A,8.5 kJ/mol,175 kJ/mol,196 J/(kg K)[note],N/A,106 K,13 W/(m K),0.0000127 K-1,7.16 g/cm3,0.000020449,441 MPa,1.44[note],412 MPa,38 GPa,20 GPa,50 GPa,0.27,N/A,2130 m/s,3,1.17,50 kJ/mol,4.1,1325,N/A,None,f,N/A,6,Lanthanide,[Xe]6s24f6,Silver,N/A,CAS7440-19-9,CID23951,Conductor,1.1×106 S/m,9.4×10-7 m Ω,N/A,Paramagnetic,N/A,1.11×10-7 m3/Kg,1.669×10-8 m3/mol,0.00081618,5×10-7%,1×10-7%,0.000017%,0.0006%,4.5×10-11%,N/A,238 pm,198 pm,N/A,"R_
3m",166,Stable,Stable,N/A,7F0,5.9×103,4.7
